495.74,7745
175.92,1492.91,20343
178.13,1492.72,20356
176.41,1494.82,20367
178.30,1495.00,20379
178.55,1496.82,20390
177.77,1495.85,20403
179.09,1496.76,20414
176.07,1494.96,20425
175.51,1495.21,20438
177.84,1495.22,20449
178.62,1496.61,20461
176.99,1495.80,20472
178.29,1495.00,20485
177.74,1494.19,20496
177.16,1492.94,20508
177.78,1493.32,20519
177.42,1493.93,20532
176.74,1495.69,20543
178.56,1494.97,20555
179.43,1495.89,20567
178.18,1496.17,20579
174.68,1495.71,20590
176.97,1494.62,20602
177.09,1496.08,20614
179.84,1496.76,20626
177.24,1497.25,20637
176.23,1496.47,20649
177.58,1496.33,20661
177.58,1493.47,20673
178.66,1493.32,20684
176.80,1492.44,20697
176.72,1495.03,20708
178.08,1494.88,20720
179.19,1496.02,20731
180.20,1495.77,20744
175.69,1494.81,20755
174.09,1494.58,20767
177.26,1495.04,20779
180.21,1496.77,20791
178.30,1497.05,20802
175.72,1496.62,20814
177.55,1496.78,20826
179.20,1495.37,20838
176.70,1494.66,20849
175.83,1494.51,20861
178.30,1495.96,20873
178.63,1496.24,20885
179.46,1496.02,20896
177.31,1494.93,20908
174.35,1494.41,20920
178.88,1494.14,20931
178.20,1494.54,20943
178.87,1496.37,20955
177.09,1496.19,20967
176.37,1496.63,20978
179.83,1496.10,20990
177.03,1495.04,21002
177.17,1494.99,21014
176.40,1495.26,21025
178.09,1496.15,21038
177.83,1495.86,21049
179.07,1496.17,21061
179.13,1495.15,21072
175.33,1494.85,21085
176.33,1492.89,21096
178.56,1493.77,21108
178.49,1495.48,21120
178.93,1495.86,21132
175.76,1497.09,21143
177.82,1495.48,21155
179.13,1495.53,21167
177.05,1494.34,21179
177.36,1494.97,21190
177.09,1495.46,21202
177.00,1495.90,21214
178.79,1496.40,21226
179.05,1495.21,21237
178.18,1495.41,21250
177.65,1494.10,21261
177.02,1494.39,21273
179.35,1495.31,21284
177.84,1495.28,21297
177.42,1496.68,21308
179.05,1495.93,21320
175.94,1496.74,21331
177.32,1494.14,21344
177.23,1493.86,21355
177.42,1495.03,21366
178.81,1496.11,21379
177.72,1496.19,21390
178.61,1494.25,21402
177.54,1493.99,21413
